SEQN,age,gender,screen_hours,sleep_hours,PAQ710,PAQ715,PAD680,weight,SDMVPSU,SDMVSTRA
87225.0,35.0,Male,13.0,9.5,5.0,8.0,,119978.783143,1.0,128.0
87226.0,41.0,Female,8.0,6.0,5.397605346934028e-79,8.0,,23553.757489,2.0,129.0
87227.0,16.0,Male,1.0,7.5,1.0,5.397605346934028e-79,,43978.978549,1.0,131.0
87228.0,62.0,Male,3.0,7.5,3.0,5.397605346934028e-79,,116270.133501,2.0,132.0
87229.0,43.0,Female,2.0,7.0,2.0,5.397605346934028e-79,,117608.971956,1.0,130.0
87230.0,27.0,Male,4.0,8.5,4.0,5.397605346934028e-79,,58839.484528,2.0,131.0
87231.0,57.0,Male,3.0,6.0,3.0,5.397605346934028e-79,,32960.800768,2.0,127.0
87232.0,17.0,Male,10.0,9.5,2.0,8.0,,16095.818876,2.0,132.0
87233.0,35.0,Male,5.0,7.0,2.0,3.0,,26698.814375,2.0,126.0
87235.0,43.0,Male,2.0,9.0,5.397605346934028e-79,2.0,,17830.145083,2.0,132.0
87236.0,45.0,Female,7.0,6.0,3.0,4.0,,24225.717459,1.0,123.0
87237.0,65.0,Female,5.0,8.0,3.0,2.0,,176987.835099,1.0,122.0
87238.0,19.0,Female,12.0,8.5,4.0,8.0,,15667.248901,2.0,123.0
87241.0,23.0,Female,4.0,5.5,3.0,1.0,,38202.348412,2.0,130.0
87242.0,26.0,Male,3.0,8.0,2.0,1.0,,31666.693853,1.0,120.0
87243.0,33.0,Female,9.0,4.0,1.0,8.0,,32846.909923,1.0,125.0
87244.0,29.0,Female,10.0,8.0,2.0,8.0,,18120.094249,1.0,133.0
87245.0,29.0,Male,1.0795210693868056e-78,5.5,5.397605346934028e-79,5.397605346934028e-79,,34762.209533,1.0,125.0
87246.0,58.0,Male,3.0,9.5,1.0,2.0,,20976.165707,2.0,122.0
87248.0,55.0,Male,9.0,9.0,5.0,4.0,,93605.661967,2.0,125.0
87250.0,49.0,Female,4.0,8.0,3.0,1.0,,131884.677525,2.0,129.0
87251.0,50.0,Female,10.0,7.5,2.0,8.0,,14800.100151,1.0,122.0
87252.0,17.0,Male,9.0,6.0,5.0,4.0,,5.397605346934028e-79,1.0,131.0
87253.0,18.0,Male,13.0,8.0,8.0,5.0,,12153.038114,1.0,121.0
87255.0,45.0,Female,6.0,8.5,4.0,2.0,,14923.936188,1.0,123.0
87256.0,65.0,Male,9.0,8.0,5.0,4.0,,10409.414598,1.0,123.0
87257.0,59.0,Female,3.0,8.5,2.0,1.0,,16900.850924,1.0,121.0
87258.0,30.0,Female,11.0,5.5,8.0,3.0,,22760.399717,1.0,124.0
87260.0,61.0,Male,8.0,3.0,5.0,3.0,,11801.098714,2.0,123.0
87261.0,73.0,Female,10.0,11.5,2.0,8.0,,24875.783754,2.0,132.0
87262.0,29.0,Male,10.0,6.0,2.0,8.0,,33027.641518,2.0,133.0
87263.0,53.0,Male,6.0,7.5,5.0,1.0,,132946.123905,1.0,130.0
87264.0,38.0,Male,6.0,7.0,5.0,1.0,,41779.394263,2.0,132.0
87265.0,42.0,Male,11.0,6.0,3.0,8.0,,21802.893183,2.0,122.0
87268.0,56.0,Female,13.0,9.0,5.0,8.0,,25513.834575,2.0,130.0
87270.0,63.0,Male,16.0,7.0,8.0,8.0,,160570.756923,1.0,122.0
87274.0,55.0,Female,6.0,7.5,5.0,1.0,,15857.063224,2.0,129.0
87275.0,75.0,Male,6.0,5.0,4.0,2.0,,22372.691041,2.0,123.0
87276.0,44.0,Female,9.0,7.0,1.0,8.0,,15938.117476,1.0,120.0
87277.0,25.0,Female,4.0,8.0,2.0,2.0,,21799.251747,2.0,124.0
87278.0,46.0,Male,3.0,6.5,1.0,2.0,,155845.806892,2.0,128.0
87279.0,19.0,Female,3.0,7.0,3.0,5.397605346934028e-79,,5.397605346934028e-79,2.0,122.0
87281.0,48.0,Female,2.0,8.5,2.0,5.397605346934028e-79,,45535.281628,2.0,130.0
87283.0,42.0,Female,6.0,8.0,1.0,5.0,,18137.169391,2.0,131.0
87284.0,80.0,Male,12.0,6.0,4.0,8.0,,20152.976438,2.0,128.0
87286.0,16.0,Male,8.0,8.0,5.397605346934028e-79,8.0,,16297.725821,1.0,128.0
87287.0,80.0,Female,13.0,7.0,5.0,8.0,,5.397605346934028e-79,1.0,126.0
87288.0,53.0,Male,4.0,7.5,2.0,2.0,,23710.980117,2.0,131.0
87289.0,37.0,Female,7.0,7.5,5.0,2.0,,15132.098479,1.0,119.0
87290.0,62.0,Female,12.0,9.0,4.0,8.0,,8256.55913,1.0,120.0
87291.0,39.0,Male,9.0,8.0,1.0,8.0,,39405.660262,1.0,132.0
87292.0,41.0,Male,13.0,8.0,8.0,5.0,,20075.492284,2.0,128.0
87294.0,64.0,Female,2.0,8.0,2.0,5.397605346934028e-79,,7800.99713,2.0,132.0
87297.0,46.0,Female,3.0,7.5,5.397605346934028e-79,3.0,,26163.768159,2.0,124.0
87298.0,28.0,Male,6.0,9.0,4.0,2.0,,52097.80294,2.0,132.0
87301.0,69.0,Male,3.0,6.5,2.0,1.0,,193088.819457,2.0,127.0
87303.0,40.0,Female,3.0,8.0,3.0,5.397605346934028e-79,,27666.642087,1.0,128.0
87306.0,56.0,Female,2.0,7.0,1.0,1.0,,17123.680185,2.0,119.0
87308.0,80.0,Female,9.0,8.5,1.0,8.0,,51091.418946,1.0,121.0
87310.0,29.0,Male,5.0,7.5,3.0,2.0,,20250.304316,1.0,132.0
87311.0,47.0,Female,1.0795210693868056e-78,8.0,5.397605346934028e-79,5.397605346934028e-79,,134925.145502,2.0,128.0
87312.0,29.0,Male,6.0,8.0,3.0,3.0,,18395.34904,2.0,129.0
87314.0,67.0,Female,8.0,8.0,5.397605346934028e-79,8.0,,21004.693212,2.0,132.0
87315.0,30.0,Female,4.0,7.0,2.0,2.0,,22724.405489,1.0,133.0
87316.0,78.0,Female,4.0,9.0,4.0,5.397605346934028e-79,,5.397605346934028e-79,1.0,133.0
87317.0,36.0,Female,,,,,,40415.41844,1.0,132.0
87318.0,30.0,Female,13.0,6.0,5.0,8.0,,18269.330842,2.0,126.0
87319.0,52.0,Female,4.0,7.5,3.0,1.0,,23535.425,2.0,131.0
87320.0,43.0,Male,2.0,8.0,2.0,5.397605346934028e-79,,97755.036794,1.0,131.0
87321.0,68.0,Female,13.0,7.5,5.0,8.0,,10050.033571,1.0,128.0
87322.0,58.0,Female,6.0,7.5,5.0,1.0,,163597.776099,2.0,124.0
87324.0,21.0,Male,6.0,9.0,3.0,3.0,,19646.69162,1.0,121.0
87325.0,69.0,Female,6.0,8.0,3.0,3.0,,50073.551924,2.0,124.0
87326.0,25.0,Female,3.0,8.0,1.0,2.0,,111937.996838,1.0,132.0
87329.0,52.0,Female,8.0,8.0,5.397605346934028e-79,8.0,,15981.026754,2.0,121.0
87330.0,36.0,Female,1.0,10.0,1.0,5.397605346934028e-79,,46484.136894,1.0,126.0
87333.0,40.0,Male,1.0795210693868056e-78,8.0,5.397605346934028e-79,5.397605346934028e-79,,120972.428323,2.0,123.0
87334.0,36.0,Male,11.0,7.5,3.0,8.0,,28488.769793,1.0,129.0
87335.0,80.0,Female,5.0,10.0,5.0,5.397605346934028e-79,,62335.405714,2.0,120.0
87336.0,26.0,Male,1.0,9.0,1.0,5.397605346934028e-79,,5.397605346934028e-79,1.0,128.0
87337.0,60.0,Female,12.0,8.0,4.0,8.0,,8220.296308,2.0,133.0
87338.0,72.0,Male,10.0,10.0,2.0,8.0,,5.397605346934028e-79,2.0,127.0
87341.0,24.0,Male,6.0,8.0,3.0,3.0,,53541.570764,2.0,121.0
87342.0,73.0,Female,10.0,9.5,2.0,8.0,,12743.122492,1.0,132.0
87343.0,62.0,Female,8.0,5.5,5.0,3.0,,19934.771413,2.0,124.0
87344.0,22.0,Male,2.0,7.0,1.0,1.0,,80819.112454,1.0,131.0
87345.0,52.0,Female,10.0,11.0,5.0,5.0,,47665.045765,2.0,123.0
87346.0,32.0,Female,2.0,6.0,2.0,5.397605346934028e-79,,24013.05471,2.0,131.0
87347.0,57.0,Male,1.0795210693868056e-78,6.5,5.397605346934028e-79,5.397605346934028e-79,,12518.033302,1.0,122.0
87349.0,25.0,Male,7.0,7.5,2.0,5.0,,87562.426716,1.0,132.0
87350.0,43.0,Male,2.0,7.0,2.0,5.397605346934028e-79,,18674.986015,1.0,124.0
87351.0,38.0,Male,6.0,10.0,1.0,5.0,,42982.184093,1.0,122.0
87353.0,30.0,Female,4.0,5.0,5.397605346934028e-79,4.0,,18720.33867,1.0,123.0
87354.0,36.0,Male,4.0,6.5,2.0,2.0,,18531.664866,1.0,123.0
87360.0,67.0,Female,2.0,7.0,2.0,5.397605346934028e-79,,126336.546027,1.0,130.0
87362.0,25.0,Male,16.0,7.0,8.0,8.0,,15043.555952,2.0,125.0
87365.0,30.0,Male,10.0,8.5,2.0,8.0,,24361.13315,2.0,132.0
87369.0,24.0,Female,4.0,10.0,1.0,3.0,,31569.039764,1.0,125.0
87370.0,37.0,Male,2.0,5.5,2.0,5.397605346934028e-79,,28249.565024,2.0,131.0
87372.0,53.0,Female,3.0,7.0,3.0,5.397605346934028e-79,,14946.887148,1.0,127.0
87373.0,29.0,Male,3.0,8.5,3.0,5.397605346934028e-79,,103687.120168,2.0,131.0
87375.0,40.0,Male,12.0,7.5,4.0,8.0,,28135.808454,1.0,125.0
87376.0,40.0,Female,5.0,8.0,3.0,2.0,,138364.848529,2.0,124.0
87377.0,54.0,Male,5.0,7.0,3.0,2.0,,166988.671235,1.0,129.0
87379.0,29.0,Male,1.0,4.5,1.0,5.397605346934028e-79,,39889.764786,2.0,129.0
87380.0,48.0,Male,3.0,7.5,2.0,1.0,,5.397605346934028e-79,1.0,133.0
87381.0,56.0,Female,10.0,8.0,2.0,8.0,,5.397605346934028e-79,1.0,131.0
87383.0,36.0,Male,9.0,9.5,4.0,5.0,,24361.13315,2.0,132.0
87384.0,79.0,Female,13.0,7.0,5.0,8.0,,66678.487176,2.0,130.0
87385.0,28.0,Male,9.0,5.5,8.0,1.0,,5.397605346934028e-79,2.0,130.0
